,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M3_15_191,hoe so die sake gheit,None,hoe soe die zake gheyt,None,hoe zo die zake gheit,dit is dat onderscheyt,None,None,hoe soe die zake gheyt,hoe dat die sake geit:,None,None,None,zo hoe de zake gheit,hoe dat die sake gheit,None,None
M3_15_192,so ghestade es god in sine zede,None,so ghestade es god in sine seide,None,zo ghestade is god in die zede,soe ghestadich is god in sijn zede:,None,None,soe ghestade es god niden zede,soe gestade es god in den sede:,None,None,None,so ghestaede es zijne zeede,so gestade es god in den sede,None,None
M3_15_193,dattene cracht no gheene onlede,None,datten cracht no ghene onvrede,None,dat hem macht noch ghene bede,dat hem cracht noch ghene bede,None,None,datten cracht no ghene bede,datten cracht noch gene bede:,None,None,None,dattene miede no ghene bede,datten cracht noch geene bede,None,None
M3_15_194,huut sinen pore en leit,None,wt sinen wille en leyt,None,buten zinen wille leit,wt synen wille en leyt,None,None,vut sinen wille en leyt,wt sinen poere en leit:,None,None,None,vute zinen wille en leyt,wt sinen poere en leit,None,None
M3_15_195,dits al waer gheseit,None,dits al wair gheseit,None,dits al waer gheseit,hoe dat die sake gheyt:,None,None,dits al waer gheseit,dit es al waer geseit:,None,None,None,dit es al waer gheseit,dits al waer geseit,None,None
M3_16_196,heden ghister es onse leuen,None,huden ghistre ende onse leuen,None,huden ghistren is onze leuen,heden ghisteren is ons leuen.,None,None,heden ghisteren es ons leuen,heden gisteren es onse leuen:,None,None,None,heden ghestaen es onse leuen,heden . gisteren . es onse leuen,None,None
M3_16_197,ende daers gheen hende an ghedreuen,None,ende dair es ende an ghegeuen,None,ende daer is einde aen ghegheuen,daer is een eynde aen ghedreuen,None,None,daer es een eynde an ghedreuen,ende daer es endde ane gedreuen:,None,None,None,ende daer es hende anghedreuen,ende daer es endde . ane gedreuen,None,None
M3_16_198,si het cort ofte lanc,None,si het cort of lanc,None,het si cort of lanc,weder het sy cort oft lanck,None,None,hets zij corte ofte lanc/,het si cort ochte lanc:,None,None,None,eist cort ofte lanc,het si cort ochte lanc,None,None
M3_16_199,maer alse men vint van gode bescreuen,None,mer alsmen vint van gode bescreuen,None,mer alsmen vijnt van gode bescreuen,maer alsmen vint van gode bescreuen,None,None,maer alsmen vint van gode bescreuen,maer als men van gode vent bescreuen:,None,None,None,maer alsmen vint van gode bescreuen,maer als men van gode vint bescreuen,None,None
M3_16_200,dit wort heden esser af bleuen,None,dit woort huden so esser an bleuen,None,dit woert heden zo isser aen bleuen,dit woert heden isser an ghebleuen:,None,None,dit wort heden/ esser aen bleuen,dit woert heden esser aue bleuen:,None,None,None,dit woort heden zo esser anbleuen,dit woert heden esser aue bleuen,None,None
M3_16_201,den eeweliken omme ganc,None,een ewelike ommegang,None,een ewelijc ommeganc,een ewelijck ommeganck/,None,None,een eeuwelic omme ganc,een ewelec omme ganc:,None,None,None,een ewelic ommeganc,een ewelec omme ganc,None,None
M3_16_202,daer gheen hende an mach cleuen,None,dair gheen eynde an mach cleuen,None,daer gheen beghin aen mach cleuen,daer gheen eynde en mach aen cleuen/,None,None,daer gheen eynde an mach cleuen,daer geen endde ane en mach cleuen:,None,None,None,daer gheen hende an mach cleuen,daer negeen inde ane en mach cleuen,None,None
M3_16_203,noch gheen beghin an wart verheuen,None,noch gheen beghin werter verheuen,None,noch gheen beghin en waert verheuen,noch beghin en wert verheuen,None,None,noch beghin en wert verheuen,noch geen begin werter verheuen:,None,None,None,no gheen beghin wertter ghegheuen,noch beghin en werter verheuen,None,None
M3_16_204,sijn wesen es so stranc,None,sijn wesen es so strang,None,zijn wesen is zo stranc,sijn wesen is soe stranck/,None,None,siin wesen es soe stranc,sijn wesen es so stranc:,None,None,None,sijn weesen es zo stranc,sijn wesen es so stranc,None,None
M3_16_205,siere jeghen wordicheit es beneuen,None,sine ieghen woirdicheit es beneuen,None,zine ieghenwordicheit is beneuen,sijn teghenwoerdicheit is beneuen,None,None,siin iegenwoirdicheit es beweuen,siere iegewerdecheit es beneuen:,None,None,None,zijne ieghenwordicheit esser bleuen,siere iegewerdecheit es beneuen,None,None
M3_16_206,dat was ende wert daer eist bescreuen,None,dat was ende wert dus est bescreuen,None,dat was ende is dus eest bescreuen,dit was dit woert dus ist bescreuen:,None,None,dat was ende es dus eest bescreuen,dat es ende was dus eest bescreuen:,None,None,None,dat was een wort dus eist bescreuen,dat es ende was dus eest bescreuen,None,None
M3_16_207,ende nv es ghemanc,None,ende nv es gemanc,None,ende nu eest ghemanc.,ende dat nv is ghemanc,None,None,ende nu es ghemanc,ende nv es gemanc:,None,None,None,ende nu eist ghemanc,ende mi es gemanc :,None,None
M3_16_208,in dese weerelt cranc,None,in dese werelt cranc,None,in dese werelt cranc.,in dese werelt cranck:,None,None,in dese werelt cranc,jn dese werelt stranc:,None,None,None,in dese werelt cranc,jn dese werelt stranc,None,None
M3_17_209,martijn nv en clach no crone,None,martin nv en claech no croen,None,martijn nu en claghe noch en crone,martijn en claecht noch en crone.,None,None,merten en claecht no en crone,merten nv en clach no en croene:,None,None,None,martin nu en claghe no en croone,merten nu en clach no en croene,None,None
M3_17_210,dits een god in drie persone,None,dits een god in drien persone,None,dits een god in drie persone,dits een god in drie persone:,None,None,dits een god in drie persone,dit es een god in drie persoene:,None,None,None,dit es een god in drie persoone,dit es een god in drie persoene,None,None
M3_17_211,daer ic af spreke dye,None,dair ic of spreke die,None,daer ic af sprac te die,daer ick af spreke dye,None,None,daer ic aff spreke die,daer ic af spreke die:,None,None,None,daer af spreke die,daer ic af spreke die,None,None
M3_17_212,euen gheweldich euen scone,None,euen gheweldich euen scone,None,euen ghelike euen scone,euen gheweldich euen schone.,None,None,euen gheweldich euen scone,es euen geweldech ende euen scone:,None,None,None,euen gheweldich euen scone,es euen geweldech ende euen scone,None,None
M3_17_213,even ghelijc in hemel in trone,None,euen ghelijc in werelt in throne,None,euen ghelike in der werelt in den trone,euen ghelijc in werelt in trone/,None,None,euen gelijc in die werelt in water trone,euen gelijc in werelt in troene:,None,None,None,euen staerc in weerelt in throne,euen gelijc in werelt in throene,None,None
M3_17_214,sijn dese eenighe drie,None,ne sijn dese enighe drie,None,zijn dese enighe drie,sijn dese ewighe drie.,None,None,siin dese enighe drie,sijn dese enege drie:,None,None,None,zijn dese enighe drie,sijn dese enege drie,None,None
M3_17_215,redene en draghet hier niet de crone,None,redene en draecht hier niet de crone,None,redene en draghet hier niet die crone,reden en derf hier niet crone.,None,None,redene draecht hier af crone,redene draecht hier met die croene:,None,None,None,redene en dracht hier niet de crone,redene draecht hier niet die croene,None,None
M3_17_216,maer tgheloue sonder hone,None,mer tgheloue sonder hone,None,mer tgheloue zonder hone,maer tgheloue sonder hone,None,None,maer tgheloeue sonder hone,maer tgeloeue sonder hone:,None,None,None,maer tgheloue zonder hoene,maer tgeloeue sonder hoenne,None,None
M3_17_217,dat en twifelde nie,None,des en twifele nie,None,dat en twiuelde nie,des en twiuelt nye,None,None,dies en twiuelt nye,dat en twiuelde nie:,None,None,None,dies en twiuel ic nye,dat en twiuelde nie,None,None
M3_17_218,wat eeren hadwijs of wat lone,None,wat eren hadden wijs of wat lone,None,wat eren had wijs of wat lone,wat eeren hadden wijs oft lone,None,None,wat eeren hadden wijs oft wat lone,wat eren hadde wijs ofte wat loene:,None,None,None,wat eeren hadden wij of wat loene,wat eeren hadde wijs oft wat loenne,None,None
M3_17_219,dat wi die niet doghen .i. bone,None,of wi die doghen ene tone,None,of wie die niet doghen ene bone,dat wi die niet en doghen een bone,None,None,dat wij dij niet weert en siin .j. bone,dat wi die niet en dogen ene boene:,None,None,None,of wij die niet en doghen .j. boene,dat wi die niet en dogen ene boenne,None,None
M3_17_220,ghelouen dat elc zie,None,ghelouen dat elc zie,None,gheloeft dat elc zie,tgheloue dat elck sye/,None,None,gheloeue dat elc zie,gheloefden dat elc sie:,None,None,None,ghelouen dat elc zie.,geloefde dat elc sie :,None,None
M3_17_221,nu antwort mi ghie,None,nu antwoirt mi ende ghie,None,nu andworde mi ende ghie,nv antwoert mi ende ghye:,None,None,met herten ende gye/,nu antwerdt mi ende gie:,None,None,None,nu andwoordt my en ghie,nu antwerdt mi ende gie,None,None
M3_18_222,iacop ic lye ten beghinne,None,iacop ic lye ten beghinne,None,iacob ic andworde ten beghinne,iacop ick lye ten beghinne,None,None,iacob ic lye ten beghinne,iacob ic lie ten beginne:,None,None,None,iacob ic lye ten beghinne,iacob ic lie ten beghinne,None,None
M3_18_223,dat ic subtijlre wort van sinne,None,dat ic subtijlre wort van zinne,None,dat ic subtijlre woerde van zinne,dat ick subtijlre woert van sinne/,None,None,dat ic subtijlre woirt van sinne,dat ic subtijlder dinc van sinne:,None,None,None,dat ic suptijlre woort van zinne,dat ic subtijlre dinc van sinne,None,None
M3_18_224,niet en hebbe ghehort,None,niet en heb ghehoirt,None,nie en hebbe ghehoert,niet en heb ghehoort.,None,None,niet en hebbe ghehoirt/,niet en hebbe gehort:,None,None,None,niet en hebbe ghehoort,niet en hebbe gehort,None,None
M3_18_225,dan du mi hier maex in jnne,None,dan du my hier maects an jnne,None,dan di mi hier maecs an inne,dan du mi hier gheues inne,None,None,dan du mi maecs hier inne,dan du mi maecs hier in inne:,None,None,None,dan du my hier maecs in jnne,dan du mi maecs hier in inne,None,None
M3_18_226,doch prouuic wel en kinne,None,doch proue ic wel ende kinne,None,doch proeue ic wel ende kinne,doch proue ick wel ende kinne.,None,None,doch proeuic wel ende kinne,oec proeuic wel ende bekinne:,None,None,None,doch prouue ic wel ende kinne,oec proeuic wel ende bekinne,None,None
M3_18_227,te grondene dese wort,None,te grondene dese woort,None,te gronde dese woert,te gronderen dese woort,None,None,te grondene dese wort/,te grondene dese woert:,None,None,None,te gronderen dese woort,te grondene dese woert,None,None
M3_18_228,daers onse redene toe wel dinne,None,dair es onse redene toe wel dinne,None,dat onze redene is wel dinne,daer is onse gheloue toe wel dinne,None,None,daer es ons redene toe wel dinne,daer es onse redene toe wel dinne:,None,None,None,daer es onse redene toe wel dinne,daer es onse redene toe wel dinne,None,None
M3_18_229,ons en trecke tgheloue ende minne,None,ons en trucke gheloue ende minne,None,ons en trecke gheloue ende minne,ons en trecke tgheloue ende minne,None,None,ons en trect tgheloeue ende minne,ons en trecke geloeue ende minne:,None,None,None,ons en trecke tgheloue ende minne,ons en trecke geloeue ende minne,None,None
M3_18_230,vpwaert ter hemelscher poort,None,vpwairt ter hemelscher poirt,None,opwaert ter hemelscher poert,opwaerts ter hemelscher poort,None,None,opwaert ter hemelscher poort,op wert ter hemelscher poert:,None,None,None,vpwaert ter hemelscher poort,op wert ter hemelscher poert,None,None
M3_18_231,daer god es loen bouen al ghewinne,None,dair god es loon bouen ghewinne,None,daer god is loen bouen alle ghewinne,daer god is bouen alle ghewinne,None,None,daer god es loon bouen gewinne,daer god es loen bouen gewinne:,None,None,None,daer god es loon bouen ghewinne,daer god es loen bouen gewinne,None,None
M3_18_232,ende daer tgheloue es coninghinne,None,ende dair tgeloue es coninginne,None,ende daer tgheloue is coninghinne,ende daer tgheloue is coninghinne/,None,None,ende daer tgheloeue es coninghinne,ende daer tgeloeue es coninginne:,None,None,None,ende daer tgheloue es coninghinne,ende daer tgeloeue es coninginne,None,None
M3_18_233,nu antwort mi bet vort,None,nu antwoirt mi bet voirt,None,nu andworde mi bet voert,nv antwoert my bat voort,None,None,nu antwoort mi bat voort,nu antwert mi bat voert:,None,None,None,nu andwoort my bet voort,nu antwerdt mi bat voert,None,None
M3_18_234,of ics niet en hebbe verbort,None,of ict niet heb verboort,None,of ics niene heb verboert,oft ics niet en hebbe verboort:,None,None,oft ics niet en hebbe verboort,op dat ics niet en hebbe verboert:,None,None,None,oft ics niet en hebbe ghehoort,op dat ics niet en hebbe verboert,None,None
M3_19_235,None,None,anden vader van hemelrike,None,an den vader van hemelrike,inden vader van hemelrijke,None,None,inden vader van hemelrike,ane den vader van hemelrike:,None,None,None,in den heere van hemelrijke,ane den vader van hemelrike,None,None
M3_19_236,None,None,ende anden zone dies ghelike,None,ende aen den zoene dies ghelike,ende inden sone des ghelike,None,None,ende inden zone des ghelike,ende ane den sone dies gelike:,None,None,None,in den zoene der ghelijke,ende ane den sone dies gelike,None,None
M3_19_237,None,None,ende anden heilighen gheest,None,ende an den heilighen gheest,ende inden heylighen gheest/,None,None,ende inden heiligen gheest,ende aen den heilegen geest:,None,None,None,ende in den heilighen gheest,ende ane den heilegen gheest,None,None
M3_19_238,None,None,so es mijn geloue also rijke,None,zo is mijn gheloue also rike,soe is mijn gheloue soe rijke.,None,None,es mijn gheloue alsoe rijcke,es mijn geloeue also rike:,None,None,None,es mijn gheloue also rijke,es mijn geloeue also rike,None,None
M3_19_239,None,None,dat een god is ende ics ne wike,None,dat een god is des ic niene wike,dat een god is des ick en wijke,None,None,dat een god es ende icken wijke,dat een god es dien ic wike:,None,None,None,dat een god es dien ic wijke,dat een god es dien ic wike,None,None
M3_19_240,None,None,hoe so ic worde gheureest,None,hoe zoet woerde vereest,hoe dat ick werde gheureest,None,None,hoe dat ic werde ghevreest,hoe dat ic werde gevreest:,None,None,None,zo houde ic worde gheureest,hoe dat ic werde gevreest,None,None
M3_19_241,None,None,mer segt mi so claer dat blike,None,mer zegh mi alse claer dat het blike,maer sech mi claer dat blike,None,None,maer segt mi claer dat blike,maer segt mi so claer dat het blike:,None,None,None,maer seght my zo claer dat het blike,maer segt mi soe claer dat het blike,None,None
